Name,Observed Wavelength of H-alpha,Apparent Mag,RA J2000.0,Dec J2000.0,Redshift,Radial Velocity,Distance in parsecs,Absolute Magnitude,Luminosity,Visible Mass
PGC1664006,6581.251998583331,12.465970375272017,11.535166666666667,22.12527777777778,0.002811604586964611,842897.8500501956,15938307.15591605,-18.54624058522097,2120783002.9969714,2.085000956873081e+41
PGC1620526,6602.969898963796,13.975112116376652,11.598444444444445,20.22222222222222,0.006120847650971539,1834983.9623282838,16468555.698731616,-17.108165448514185,563983215.6436638,1.428087488885211e+41
PGC1597887,6588.2646159000005,13.767742566767794,11.652472222222222,19.583333333333332,0.0038801450447980557,1163238.2203765293,17026698.290846244,-17.387909635733088,729732778.0745804,1.5371830205521042e+41
UGC06670,6592.589623085903,12.93207685020068,11.708166666666665,18.333055555555557,0.004539163632276244,1360807.0225843033,17446734.195722837,-18.276493872603687,1654236309.2816737,1.9421289538327574e+41
PGC1519757,6591.906246556143,11.19524532765935,11.744638888888888,16.899722222222223,0.004435034826010709,1329589.9918053527,17181019.869432792,-19.979999372762236,7943277758.351704,3.040635808766027e+41
UGC06747,6585.828745443946,14.57731671782686,11.773333333333333,13.827222222222222,0.003508981752292639,1051966.2645969575,18047585.738216784,-16.70477885058451,388965909.9606236,1.2842615757546077e+41
EVCC2007,6584.594835442493,14.864836547642144,11.774027777777778,19.503333333333334,0.003320965966126188,995600.5499193147,16048868.712320939,-16.16238557397122,236022947.48573345,1.1134370946041225e+41
AGC219628,6571.730716866126,14.97653305559881,11.787222222222223,18.674444444444447,0.0013608089330965356,407960.254921368,16269685.03726756,-16.080362672238305,218849253.16360986,1.0896615836790828e+41
SDSSJ114717.56+162004.5,6595.608952612841,14.401398957674004,11.788194444444445,16.334722222222222,0.004999230909495944,1498731.7224673647,16111649.93687734,-16.634301128590295,364519236.0641547,1.2606626676699736e+41
PGC2806928,6595.929039328354,13.679207428007429,11.804555555555556,18.6425,0.005048003798432621,1513353.4667254519,15920596.643011171,-17.330589268998295,692206554.9617656,1.5141701474645268e+41
SDSSJ114843.14+171053.1,6602.705370154461,12.950977920263767,11.811972222222224,17.18138888888889,0.006080540341692586,1822900.1350041803,17142060.504210424,-18.219337197959234,1569404448.119258,1.913136121074099e+41
AGC219539,6566.956944219181,13.343851909445496,11.8125,16.739722222222223,0.0006334101632201605,189891.58975395313,18891111.315832075,-18.03743562609725,1327315758.1080132,1.8237156309730655e+41
DDO097,6577.054485069261,13.203887229311157,11.815944444444446,23.837777777777777,0.0021720127185440585,651153.0316995855,16058537.818923872,-17.824642764915794,1091081283.6308246,1.7243996907670445e+41
PGC1528400,6583.442830232735,12.085727042744558,11.818222222222222,17.255555555555556,0.0031454303396012406,942976.2929768306,15541131.751103802,-18.87168616837082,2862031882.0934196,2.271433567524058e+41
AGC219541,6582.637323785243,13.39363513524566,11.822694444444444,17.290000000000003,0.0030226921108738036,906180.2976960661,15956994.751576059,-17.621120375735487,904582434.6780362,1.63447482098581e+41
SDSSJ114931.03+151539.7,6602.064096846617,12.383038672644446,11.825277777777778,15.261111111111111,0.005982826971203892,1793606.40348591,16567434.552447071,-18.713237645561307,2473403996.7460284,2.178670921426861e+41
SDSSJ114957.11+161743.6,6597.567039123256,12.05498389037767,11.832527777777777,16.295555555555556,0.0052975923574170025,1588178.2343120577,17725335.852756325,-19.18798847350066,3829970151.9433384,2.4685894830087532e+41
PGC036976,6578.972765529546,14.167787197565296,11.834083333333334,15.023333333333333,0.0024643087599114377,738781.1804047818,16994179.822545413,-16.98371384940196,502904520.8973185,1.3820755197591095e+41
PGC037048,6580.120354621646,15.21735721698169,11.84886111111111,14.595,0.0026391714849829384,791203.7065665452,17564218.522625197,-16.00578694140072,204321833.2382368,1.0684856634327658e+41
KIG0506,6595.868318084567,14.198550621546616,11.867194444444445,13.87888888888889,0.00503875146043864,1510579.6855759895,17906701.3666316,-17.06652733276531,542763873.3830817,1.4125250961913228e+41
SDSSJ115220.20+152736.2,6584.239017470941,12.63896321484999,11.872277777777779,15.459999999999999,0.003266748563256705,979346.5814466961,16522855.64059455,-18.451462327485746,1943501727.5002666,2.0336417898594368e+41
SDSSJ115300.30+160229.4,6588.773383159031,14.934928934399046,11.883416666666665,16.041666666666668,0.00395766794036545,1186478.9997899558,17510375.523050558,-16.281548365361388,263402168.56433922,1.1489054527913518e+41
KK111,6617.28632165453,13.286014333740203,11.900444444444444,16.723055555555554,0.008302298051827028,2488966.3400058364,16229144.443982363,-17.765463794333918,1033202665.0706844,1.6977534644986388e+41
AGC215145,6590.726549782967,13.545558304287187,11.903472222222222,12.435,0.004255279725569272,1275700.7684059774,16266323.413126089,-17.5108887099893,817251043.909791,1.5877434508264725e+41
UGC06881,6566.52622481476,14.10993487907082,11.912472222222222,20.05638888888889,0.0005677797304137755,170216.0809833231,17370553.55321185,-17.089133413301333,554183211.8188895,1.4209530373569567e+41
NGC3976,6569.633969753825,14.090487699118654,11.932611111111111,6.749722222222222,0.0010413192164662188,312179.6474670418,17685482.1150679,-17.14759681786356,584842233.6912996,1.4429831395577545e+41
PGC037490,6579.649444920159,14.601514886349293,11.934027777777779,6.678055555555556,0.002567417096385416,769692.2820366068,17285809.176093917,-16.58693368548341,348958253.1402736,1.2450462084833787e+41
AGC215716,6574.0393193614855,10.564291163275325,11.952,6.6755555555555555,0.0017125798990500485,513418.5374576059,17868877.462064903,-20.696195189811494,15363072354.365286,3.671261807324641e+41
PGC1488625,6601.342440412781,13.312655761254682,11.97788888888889,15.592777777777778,0.0058728653033433,1760640.7247922034,17519190.46180013,-17.90491440940793,1174804939.243985,1.7612128218953425e+41
PGC037779,6602.3622246390905,12.841466550529546,11.992722222222222,13.8875,0.006028253891493085,1807225.0515787771,17973132.166287124,-18.431652289105536,1908362683.2898865,2.0230678727900907e+41
